frame,time_s,track_id,class_name,world_x,world_y,occluded,lane,headway_m,lead_track_id,speed_mps,matched_vehicle_id,gt_speed_mps,gt_headway_m,dist_m
900,89.99991,1,car,531.6844206892059,8.573320644666005,False,2.0,1.6639583381937657,14.0,8.93332549897899,230.0,17.907,44.973240000000004,2.868951187410237
901,90.0999099,1,car,532.5777523457713,8.595764516044639,False,2.0,12.170041567384942,10.0,10.847441950442454,230.0,18.022824,45.061632,2.525646265732598
902,90.1999098,1,car,533.7012520362259,8.619274601264804,False,2.0,,,12.41808737864363,230.0,18.172176,45.159168,2.513596593151135
903,90.2999097,1,car,534.9699205912029,8.64742498642871,False,2.0,,,12.689467488654731,230.0,18.458688000000002,45.253656,2.643287400569838
904,90.3999096,1,car,536.336188886624,8.679210148813375,False,2.0,,,13.686372090544038,230.0,18.85188,12.886944000000002,2.832062964104829
905,90.4999095,1,car,537.7217228295885,8.710716090732793,False,2.0,,,14.413297068246203,,,,
906,90.5999094,1,truck,539.229905004576,8.74562715283323,False,2.0,,,14.58072872054411,,,,
907,90.6999093,1,car,540.7354577815933,8.777731944706067,False,2.0,,,15.372730873486992,,,,
908,90.7999092,1,car,542.3489975007845,8.810973858176608,False,2.0,,,14.115235466121462,,,,
909,90.8999091,1,car,543.5378261168572,8.83644688390332,False,2.0,,,11.888298049024712,,,,
900,89.99991,2,car,524.8540567679116,8.272040497470826,False,2.0,0.4265321625284741,3.0,,,,,
900,89.99991,3,truck,525.2805889304401,8.254233704140328,False,2.0,2.165161917866044,7.0,0.0561645249021488,,,,
931,93.0999069,3,truck,525.4546987835267,8.253893939580703,False,2.0,,,0.6414495149856521,,,,
939,93.8999061,3,truck,525.9179499409372,8.263100444927279,False,2.0,2.57809486214569,11.0,0.6230287576406681,,,,
954,95.3999046,3,truck,526.5466214683953,8.275579664189898,False,2.0,,,0.4947059013372836,,,,
965,96.4999035,3,truck,527.2435948353677,8.288584435168456,False,2.0,,,0.6336127854059013,,,,
900,89.99991,4,car,513.0244574984958,8.172590654765225,False,2.0,2.624792301716525,6.0,,,,,
900,89.99991,5,truck,529.0355674571997,8.585963631573815,False,2.0,2.6488532320062177,1.0,,230.0,17.907,44.973240000000004,2.3834080520443472
900,89.99991,6,truck,515.6492498002124,8.089443251570252,False,2.0,3.84760589255211,8.0,-0.9097490430960068,,,,
901,90.0999099,6,truck,515.5582749868777,8.087518943236454,False,2.0,14.438898329679546,13.0,-0.9097490430960068,,,,
900,89.99991,7,truck,527.4457508483061,8.43243702542059,False,2.0,1.5740447451706814,13.0,,,,,
900,89.99991,8,truck,519.4968556927645,8.157158591056023,False,2.0,5.357201075147145,2.0,,,,,
900,89.99991,9,truck,508.2242110851599,8.018575754232167,False,2.0,4.8002464133359695,4.0,0.7161964170444766,,,,
901,90.0999099,9,bus,508.2958306552447,8.021539774728046,False,2.0,7.262444331632992,6.0,0.7161964170444766,,,,
900,89.99991,10,car,544.2625184000965,8.848961372781886,False,2.0,0.0033086152577652,12.0,4.852759983357159,221.0,18.294096000000003,31.830264000000003,1.9900835153651593
901,90.0999099,10,car,544.7477939131562,8.86082133052566,False,2.0,,,4.852759983357159,221.0,18.315432,31.7754,1.34576866305728
900,89.99991,11,truck,507.31293786408656,8.035251751585252,False,2.0,0.9112732210733157,9.0,1.504949947832836,,,,
901,90.0999099,11,truck,507.46343270837485,8.040256221468166,False,2.0,0.8323979468698326,9.0,2.631830812778844,,,,
902,90.1999098,11,bus,507.6741543949864,8.046067977731822,False,2.0,23.53838178262316,13.0,3.662228259515814,,,,
903,90.2999097,11,car,507.9784478466024,8.052772362858972,False,2.0,24.44127668758284,13.0,3.030438716379763,,,,
905,90.4999095,11,truck,508.7675446873304,8.068900357559272,False,2.0,26.449433232248452,13.0,3.528164074014967,225.0,16.663416,30.57144,1.816154972739233
