frame,time_s,track_id,class_name,world_x,world_y,occluded,lane,headway_m,lead_track_id,speed_mps,matched_vehicle_id,gt_speed_mps,gt_headway_m,dist_m
900,89.99991,1,truck,313.78809680691444,5.4335600879943255,False,1.0,15.68631920036546,10.0,,,,,
900,89.99991,2,truck,343.15278438416385,3.7981345370274937,False,0.0,6.9204677989768015,6.0,,239.0,4.572,13.566648,2.8822444747575227
900,89.99991,3,truck,334.41285439680394,3.94321146277899,False,0.0,8.739929987359915,2.0,-2.5124814346617494,281.0,11.036808,19.348704,2.0489997435797034
901,90.0999099,3,truck,334.1616065045859,3.939008726221948,False,0.0,15.775245358612494,6.0,-3.151504399181931,,,,
902,90.1999098,3,truck,333.8180929142306,3.940850048969816,False,0.0,,,-3.620259906399042,,,,
903,90.2999097,3,truck,333.4749155193638,3.940020574853215,False,0.0,,,-3.641480583714838,,,,
904,90.3999096,3,truck,333.04530140135813,3.947782333244922,False,0.0,,,-3.8691313780500423,,,,
905,90.4999095,3,truck,332.6878598972517,3.936815312970999,False,0.0,,,-4.00436021630594,240.0,3.81,12.124944000000001,2.426648424984792
906,90.5999094,3,truck,332.24512406190325,3.933788660898218,False,0.0,,,-4.0578754455364106,240.0,4.154424000000001,12.182856000000001,1.8568616882331255
907,90.6999093,3,truck,331.8654478479948,3.920909835588004,False,0.0,,,-4.085908457849882,240.0,4.4135040000000005,12.201144000000001,1.5433995629989274
908,90.7999092,3,truck,331.42320437365424,3.9355938753061226,False,0.0,,,-4.160637829543475,240.0,4.550664,12.195048,1.7018365486278209
909,90.8999091,3,truck,331.03914115940654,3.959945659133965,False,1.0,21.104209006895474,4.0,-4.235394646209443,240.0,4.55676,12.185903999999999,2.214864964383194
910,90.999909,3,truck,330.6081157672619,3.960876555102832,False,1.0,20.64531212144118,4.0,-4.270862664194283,240.0,4.456176,12.185903999999999,2.9117840541990003
911,91.0999089,3,truck,330.16423452298756,3.960018469602642,False,1.0,20.14397774706032,4.0,-4.349647046305563,,,,
912,91.1999088,3,truck,329.71094697609567,3.953101173038575,False,0.0,,,-4.4412718512069205,,,,
913,91.2999087,3,truck,329.306846852222,3.955396182060952,False,1.0,,,-9.285876830400184,,,,
914,91.3999086,3,truck,328.80585598418025,3.975635048705632,False,1.0,18.570059632975756,4.0,-14.315040711336223,,,,
915,91.4999085,3,bus,328.40013353255307,3.9781250418594896,False,1.0,18.049376537041155,4.0,-13.29413031718991,292.0,12.076176,26.529792000000004,2.8588902473181195
925,92.4999075,3,truck,323.0863492131731,3.977146753823719,False,1.0,11.423320815836632,4.0,-13.935918645262518,,,,
926,92.5999074,3,truck,322.47380588961437,3.9731223699219975,False,1.0,,,-15.337623895125034,,,,
927,92.6999073,3,truck,321.84451923204756,3.978933753243532,False,1.0,,,-10.801303808473676,,,,
928,92.7999072,3,truck,321.2157316702428,3.988137632320471,False,1.0,,,-6.166322939827978,,,,
929,92.8999071,3,truck,320.65264928898944,3.997503568927376,False,1.0,,,-6.225988572732831,297.0,9.805416000000001,24.560784,2.8076723203503673
930,92.999907,3,truck,320.0325404495672,3.9855320719765697,False,1.0,,,-6.2883581442022205,297.0,10.003536,24.801576000000004,2.0554844483096293
931,93.0999069,3,truck,319.3612978797151,3.9867985157943377,False,1.0,,,-6.455046959308447,297.0,10.351008,25.002744,2.4052526177455413
932,93.1999068,3,truck,318.7310448952023,3.9877500423611982,False,1.0,,,-6.607119781838719,,,,
933,93.2999067,3,truck,318.04085415124405,3.984122734245842,False,1.0,,,-6.726691581962314,,,,
934,93.3999066,3,truck,317.37248630372676,3.989154756645114,False,1.0,,,-6.984306722769134,,,,
935,93.4999065,3,truck,316.7055902601111,3.980702690248816,False,1.0,,,-7.181111367441645,,,,
936,93.5999064,3,truck,315.9615632139006,3.9721062181160103,False,1.0,,,-7.194430267644293,,,,
937,93.6999063,3,truck,315.1464798225544,3.967452664619912,False,1.0,,,-7.355312192891915,,,,
938,93.7999062,3,truck,314.4443150375615,3.973761297737911,False,1.0,,,-7.159546116891988,,,,
939,93.8999061,3,truck,313.7746023441954,3.980204813778218,False,1.0,,,-7.534290424250457,,,,
940,93.999906,3,truck,312.94816938206293,3.990554187301984,False,1.0,,,-8.264337885662442,304.0,10.668000000000001,20.653248,2.9116358329274115
900,89.99991,4,truck,359.14794659463524,6.330993144063541,False,1.0,,,-5.611915732061185,,,,
901,90.0999099,4,truck,358.5867555826207,6.3509491100243,False,1.0,,,-6.648187378258854,272.0,10.698480000000002,27.657552,2.408920498575322
902,90.1999098,4,truck,357.9156004886263,6.388816554321694,False,1.0,,,-7.527497553027843,272.0,10.677144,27.797760000000004,0.8202832400853681
903,90.2999097,4,truck,357.118414445785,6.4174206828130185,False,1.0,,,-7.622625594424562,272.0,10.668000000000001,27.947112,1.3698941111459721
904,90.3999096,4,truck,356.32283513143733,6.451577935663341,False,1.0,,,-7.985385376877275,,,,
