frame,time_s,track_id,class_name,world_x,world_y,occluded,lane,headway_m,lead_track_id,speed_mps
900,89.99991,1,car,519.2981255894638,9.161419574838002,False,2.0,0.2806144384489926,5,13.188068129177708
901,90.0999099,1,car,520.6169310835747,9.096639328896282,False,2.0,0.36039455575576085,13,14.354113119344895
902,90.1999098,1,car,521.9969119654276,9.081639596826658,False,2.0,0.5899816764550678,13,15.477128532671935
903,90.2999097,1,car,523.5963598089149,9.04347750282409,False,2.0,0.4609752628481374,13,15.910042576662606
904,90.3999096,1,car,525.3363982651695,8.984130655309729,False,2.0,0.4966551355868205,13,16.63849994135977
905,90.4999095,1,car,527.0151673503304,8.935230627601626,False,2.0,0.3676743349979006,13,16.952897193334632
906,90.5999094,1,truck,528.809915989328,8.875861030555102,False,2.0,0.4091087639053512,13,16.503248872529852
907,90.6999093,1,car,530.442410362534,8.85258844134642,False,2.0,0.47147293041552985,13,16.811091452714646
908,90.7999092,1,car,532.1037416522463,8.842610636590427,False,2.0,0.6476264583712918,13,14.957774767813468
909,90.8999091,1,car,533.3322487911194,8.823531298118862,False,2.0,1.1262282647811617,13,12.2850836738142
900,89.99991,2,car,496.20200155932054,12.292239145216682,False,3.0,,,
900,89.99991,3,truck,494.03855349352193,12.933801842218603,False,3.0,2.1634480657986046,2,-0.033094674316638976
931,93.0999069,3,truck,493.93596010573384,13.025869424405396,False,3.0,,,1.298317056566077
939,93.8999061,3,truck,494.8544218679052,13.005798289970238,False,3.0,,,1.2642632742198288
954,95.3999046,3,truck,496.08375512692135,12.979280694795584,False,3.0,,,0.8914147795701979
965,96.4999035,3,truck,497.33473208961794,12.971667490863922,False,3.0,,,1.1372529215225529
900,89.99991,4,car,489.41568066118214,9.667999375731373,False,2.0,20.753460715807535,7,
900,89.99991,5,truck,519.5787400279128,8.289546403471675,False,2.0,0.03115927233466209,13,
900,89.99991,6,truck,476.9609932050772,12.627702950410786,False,3.0,7.362630124365012,8,-2.304939406058267
901,90.0999099,6,truck,476.73049949496533,12.63466679044692,False,3.0,,,-2.304939406058267
900,89.99991,7,truck,510.16914137698967,10.049115901650842,False,2.0,9.128984212474109,1,
900,89.99991,8,truck,484.3236233294422,12.704636349358546,False,3.0,9.714930164079703,3,
900,89.99991,9,truck,471.9262879743558,10.922059580495526,False,3.0,5.034705230721443,6,4.0593475205580845
901,90.0999099,9,bus,472.33222232047683,10.885129284913699,False,3.0,4.3982771744884985,6,4.0593475205580845
900,89.99991,10,car,533.9730038405795,8.848440950940008,False,2.0,0.014772905011113835,12,5.351425273147968
901,90.0999099,10,car,534.5081458327518,8.823112964578087,False,2.0,,,5.351425273147968
900,89.99991,11,truck,475.19217888209795,10.172202869639719,False,2.0,14.223501779084188,4,6.118000676815192
901,90.0999099,11,truck,475.8039783379794,10.12892362170146,False,2.0,44.81295274559534,1,7.631630349231273
902,90.1999098,11,bus,476.48111491524384,10.093479841878326,False,2.0,45.51579705018372,1,9.121882181219007
903,90.2999097,11,car,477.2112131055906,10.077201209014454,False,2.0,46.385146703324324,1,7.650809025362946
905,90.4999095,11,truck,478.904031887179,10.060944669946268,False,2.0,48.11113546315147,1,8.149073398712517
906,90.5999094,11,truck,479.7414265032408,10.033029657906344,False,2.0,49.06848948608723,1,10.021048888044788
907,90.6999093,11,truck,480.5593919770696,10.006718535706684,False,2.0,49.883018385464425,1,9.37124438431647
908,90.7999092,11,truck,481.40406044270094,9.998678489971036,False,2.0,50.69968120954536,1,8.581630719115765
909,90.8999091,11,truck,482.3093064451291,9.999078042234332,False,2.0,51.02294234599026,1,8.644086263426743
910,90.999909,11,truck,483.17717356071216,9.97822312897981,False,2.0,51.05144824868819,12,8.77577360369105
911,91.09990889999999,11,truck,484.0499069671925,9.953920574539898,False,2.0,53.03700422248727,13,8.8803954848604
912,91.19990879999999,11,truck,484.894989132458,9.912086449406932,False,2.0,,,8.972451370834733
913,91.29990869999999,11,car,485.84422811522916,9.900519784505988,False,2.0,,,9.15163996388128
914,91.39990859999999,11,truck,486.74952537706497,9.873161104739088,False,2.0,,,9.326232513648847
915,91.49990849999999,11,car,487.7093970271597,9.85750492337191,False,2.0,,,9.469517142048971
916,91.59990839999999,11,truck,488.66931431298633,9.83752108230216,False,2.0,,,9.617185268900357
917,91.69990829999999,11,truck,489.6018049740805,9.805698546613534,False,2.0,,,9.720893712764791
918,91.79990819999999,11,truck,490.6069199461382,9.78758608247534,False,2.0,,,9.818624778447429
919,91.89990809999999,11,truck,491.6040091978712,9.773936718696477,False,2.0,,,10.02288650634955
920,91.99990799999999,11,truck,492.5757971982244,9.749831528798019,False,2.0,,,10.187365603946546
921,92.09990789999999,11,truck,493.62152910174444,9.737290958515468,False,2.0,,,10.301319798720215
922,92.19990779999999,11,truck,494.67246666878566,9.707117394231059,False,2.0,,,10.488423165872518
923,92.29990769999999,11,truck,495.72361366801374,9.68004542598306,False,2.0,,,10.694590123257058
924,92.39990759999999,11,car,496.7886249733963,9.654898776828349,False,2.0,,,10.830416149572557
925,92.49990749999999,11,truck,497.8795941001488,9.642404471071977,False,2.0,,,10.939993741150374
926,92.59990739999999,11,truck,499.0123116284869,9.61142351402745,False,2.0,,,11.049010831938176
927,92.69990729999999,11,car,500.1120894611997,9.586226505202093,False,2.0,,,11.20660044463557
928,92.79990719999999,11,truck,501.22397367675626,9.565391578157438,False,2.0,,,11.40587642104174
929,92.8999071,11,car,502.33726474758106,9.545737834626978,False,2.0,,,11.544940160167698
930,92.999907,11,car,503.5375435639992,9.524451092428011,False,2.0,,,11.709594110494436
931,93.0999069,11,car,504.7602271798018,9.498438292571649,False,2.0,,,11.95732321527339
932,93.1999068,11,car,505.90910252511264,9.483048131873495,False,2.0,,,12.112173911164518
933,93.2999067,11,truck,507.136543013744,9.436647364182116,False,2.0,,,12.319792095407138
934,93.3999066,11,car,508.38200666854357,9.403385925834003,False,2.0,,,12.629610131235495
935,93.4999065,11,car,509.60496344202704,9.349672807851364,False,2.0,,,12.842138264777532
936,93.5999064,11,car,511.01258707738873,9.306648347587481,False,2.0,,,13.050602675491518
937,93.6999063,11,truck,512.2863401291514,9.28061774961401,False,2.0,,,13.249514138502036
938,93.7999062,11,car,513.6014308323447,9.283816364976488,False,2.0,,,13.390547903480638
939,93.8999061,11,truck,514.9677084748319,9.245985731378525,False,2.0,,,13.482099041451875
940,93.999906,11,truck,516.2687625247266,9.217334315870817,False,2.0,,,13.699652624627106
941,94.0999059,11,truck,517.7393225076214,9.175445953874748,False,2.0,,,13.987980572908327
942,94.1999058,11,truck,519.041690258271,9.153720513672985,False,2.0,,,14.350622809763536
943,94.2999057,11,truck,520.5457196281995,9.120767895091891,False,2.0,,,14.657029169539783
944,94.3999056,11,truck,522.0113862639056,9.093551171269729,False,2.0,,,15.034445870270702
945,94.4999055,11,truck,523.5756931947938,9.056762034208935,False,2.0,,,15.421041600704484
946,94.5999054,11,truck,525.0894063500648,9.015303668422654,False,2.0,,,15.627053738931409
947,94.6999053,11,truck,526.7260372516527,8.958983153791175,False,2.0,,,15.682164788056525
948,94.7999052,11,car,528.2823988144806,8.919138034621648,False,2.0,,,15.61253103560557
949,94.8999051,11,truck,529.9017451895021,8.869230349731621,False,2.0,,,14.829266103820373
950,94.999905,11,truck,531.367483375089,8.8785840955021,False,2.0,,,15.362877103529627
951,95.0999049,11,truck,532.9101315928442,8.858813271092693,False,2.0,,,12.476506638298815
952,95.1999048,11,truck,533.7345632834272,8.836376248751007,False,2.0,,,8.244325150154822
900,89.99991,12,truck,533.9877767455906,8.844039663572026,True,2.0,,,0.2408453046550333
910,90.999909,12,truck,534.2286218094004,8.814089229635588,False,2.0,1.8937267300635767,13,0.2408453046550333
