frame,time_s,track_id,class_name,world_x,world_y,occluded,lane,headway_m,lead_track_id,speed_mps
900,89.99991,1,truck,-313.78809680691444,5.4335600879943255,False,1.0,,,
900,89.99991,2,truck,-343.15278438416385,3.7981345370274933,False,0.0,8.739929987359915,3,
900,89.99991,3,truck,-334.41285439680394,3.94321146277899,False,0.0,,,2.5124814346617494
901,90.0999099,3,truck,-334.1616065045859,3.939008726221948,False,0.0,,,3.151504399181931
902,90.1999098,3,truck,-333.8180929142306,3.940850048969816,False,0.0,,,3.620259906399042
903,90.2999097,3,truck,-333.4749155193638,3.940020574853215,False,0.0,,,3.641480583714838
904,90.3999096,3,truck,-333.04530140135813,3.947782333244922,False,0.0,,,3.8691313780500423
905,90.4999095,3,truck,-332.6878598972517,3.9368153129709995,False,0.0,,,4.00436021630594
906,90.5999094,3,truck,-332.24512406190325,3.933788660898218,False,0.0,,,4.0578754455364106
907,90.6999093,3,truck,-331.8654478479948,3.920909835588004,False,0.0,,,4.085908457849882
908,90.7999092,3,truck,-331.42320437365424,3.9355938753061226,False,0.0,,,4.160637829543475
909,90.8999091,3,truck,-331.03914115940654,3.959945659133965,False,1.0,11.915672954272509,10,4.235394646209443
910,90.999909,3,truck,-330.6081157672619,3.9608765551028324,False,1.0,12.849373276566439,10,4.270862664194283
911,91.09990889999999,3,truck,-330.16423452298756,3.960018469602642,False,1.0,13.84183768367609,10,4.349647046305563
912,91.19990879999999,3,truck,-329.71094697609567,3.953101173038575,False,0.0,,,4.4412718512069205
913,91.29990869999999,3,truck,-329.306846852222,3.9553961820609524,False,1.0,15.809432200489084,10,9.285876830400184
914,91.39990859999999,3,truck,-328.80585598418025,3.9756350487056316,False,1.0,16.779086637561818,10,14.315040711336223
915,91.49990849999999,3,bus,-328.40013353255307,3.9781250418594896,False,1.0,17.910627217182764,10,13.29413031718991
925,92.49990749999999,3,truck,-323.0863492131731,3.977146753823719,False,1.0,,,13.935918645262518
926,92.59990739999999,3,truck,-322.47380588961437,3.9731223699219975,False,1.0,,,15.337623895125034
927,92.69990729999999,3,truck,-321.84451923204756,3.978933753243532,False,1.0,,,10.801303808473676
928,92.79990719999999,3,truck,-321.2157316702428,3.988137632320471,False,1.0,,,6.166322939827978
929,92.8999071,3,truck,-320.65264928898944,3.997503568927376,False,1.0,,,6.225988572732831
930,92.999907,3,truck,-320.0325404495672,3.9855320719765697,False,1.0,,,6.2883581442022205
